,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type and Action,Profit
128,1.956,0.1547,0.0035,1.8,2016-Feb-16 09:31:57.890660,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",18.480905041313136
129,1.956,0.0227,0.072,2.0,2016-Feb-16 09:31:58.401011,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.728248783714033
130,1.956,0.0227,0.072,2.0,2016-Feb-16 09:31:58.401074,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.728248783714033
131,1.956,0.1072,0.0078,1.85,2016-Feb-16 09:31:58.401305,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.042740976913366424
132,1.956,0.155,0.0035,1.8,2016-Feb-16 09:31:58.401420,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",21.480905041313083
133,1.956,0.155,0.0035,1.8,2016-Feb-16 09:31:58.401457,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",21.480905041313083
134,1.956,0.0227,0.072,2.0,2016-Feb-16 09:31:58.885089,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.728248783714033
135,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:59.936870,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.7719884623208477
136,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:59.936961,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.7719884623208477
137,1.957,0.155,0.0035,1.8,2016-Feb-16 09:31:59.937279,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.524644719919898
138,1.957,0.155,0.0035,1.8,2016-Feb-16 09:31:59.937296,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.524644719919898
139,1.957,0.0242,0.072,2.0,2016-Feb-16 09:32:00.430916,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",16.77198846232086
140,1.957,0.0242,0.069,2.0,2016-Feb-16 09:32:00.430964,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",46.77198846232075
141,1.957,0.155,0.0035,1.8,2016-Feb-16 09:32:00.431274,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.524644719919898
142,1.957,0.0227,0.069,2.0,2016-Feb-16 09:32:00.907616,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",31.77198846232073
143,1.957,0.0227,0.072,2.0,2016-Feb-16 09:32:00.907632,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.7719884623208477
144,1.957,0.155,0.0035,1.8,2016-Feb-16 09:32:00.907981,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.524644719919898
145,1.957,0.011,0.1102,2.05,2016-Feb-16 09:32:01.414787,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.333824397920928
146,1.957,0.0227,0.072,2.0,2016-Feb-16 09:32:01.414834,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.7719884623208477
147,1.957,0.0227,0.071,2.0,2016-Feb-16 09:32:01.414861,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.771988462320856
148,1.957,0.155,0.0034,1.8,2016-Feb-16 09:32:01.415180,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",12.524644719920065
149,1.957,0.011,0.1102,2.05,2016-Feb-16 09:32:01.934875,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.333824397920928
150,1.957,0.0227,0.071,2.0,2016-Feb-16 09:32:01.934924,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.771988462320856
151,1.957,0.0227,0.071,2.0,2016-Feb-16 09:32:01.934944,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.771988462320856
152,1.957,0.043,0.0418,1.95,2016-Feb-16 09:32:01.934960,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",7.210152526720592
153,1.957,0.043,0.0406,1.95,2016-Feb-16 09:32:01.934976,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",19.210152526720588
